iter	Passed	Remaining
0	2	202
1	3	159
2	4	141
3	5	130
4	6	125
5	7	124
6	9	123
7	10	122
8	11	119
9	13	118
10	14	116
11	15	116
12	17	114
13	18	111
14	19	109
15	20	107
16	21	104
17	22	103
18	23	101
19	25	100
20	26	99
21	27	97
22	28	96
23	30	95
24	31	94
25	32	92
26	33	90
27	34	89
28	35	87
29	36	86
30	38	84
31	39	83
32	40	82
33	41	81
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	73
40	50	72
41	50	70
42	51	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	63
48	59	62
49	60	60
50	61	59
51	62	58
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	47
61	74	45
62	75	44
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	85	36
70	86	35
71	88	34
72	89	33
73	90	31
74	92	30
75	93	29
76	94	28
77	96	27
78	97	25
79	99	24
80	100	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	110	13
89	111	12
90	112	11
91	114	9
92	115	8
93	116	7
94	118	6
95	119	4
96	120	3
97	121	2
98	123	1
99	124	0
