iter	Passed	Remaining
0	127	127510
1	130	65347
2	132	43994
3	141	35127
4	142	28360
5	147	24439
6	152	21571
7	155	19258
8	157	17292
9	170	16868
10	174	15682
11	188	15503
12	203	15465
13	215	15169
14	219	14391
15	228	14073
16	232	13457
17	234	12790
18	244	12611
19	248	12174
20	250	11669
21	257	11454
22	259	11020
23	262	10679
24	263	10293
25	265	9937
26	266	9607
27	269	9361
28	271	9096
29	275	8893
30	276	8643
31	282	8545
32	284	8328
33	287	8165
34	288	7965
35	290	7777
36	291	7598
37	294	7460
38	297	7324
39	300	7205
40	301	7058
41	306	6991
42	308	6855
43	309	6732
44	311	6610
45	313	6492
46	314	6373
47	315	6261
48	323	6283
49	325	6179
50	328	6115
51	330	6022
52	335	5997
53	337	5920
54	344	5915
55	345	5825
56	346	5738
57	352	5728
58	356	5678
59	358	5611
60	360	5542
61	361	5466
62	367	5464
63	369	5402
64	372	5351
65	373	5284
66	374	5219
67	376	5156
68	391	5277
69	393	5224
70	406	5317
71	408	5267
72	419	5321
73	422	5289
74	424	5231
75	429	5227
76	436	5226
77	437	5170
78	438	5115
79	440	5060
80	446	5060
81	448	5020
82	449	4964
83	451	4918
84	452	4874
85	454	4828
86	455	4783
87	457	4741
88	459	4700
89	462	4674
90	463	4631
91	465	4590
92	466	4549
93	471	4549
94	474	4523
95	476	4487
96	479	4463
97	481	4429
98	489	4455
99	494	4448
100	496	4419
101	506	4461
102	508	4430
103	510	4401
104	512	4368
105	519	4379
106	521	4349
107	524	4329
108	525	4298
109	540	4375
110	542	4344
111	543	4312
112	545	4283
113	548	4266
114	551	4240
115	552	4211
116	565	4264
117	568	4246
118	577	4277
119	581	4262
120	582	4232
121	583	4201
122	598	4265
123	599	4236
124	612	4286
125	613	4258
126	615	4228
127	616	4200
128	625	4224
129	630	4219
130	631	4191
131	641	4217
132	644	4200
133	645	4174
134	647	4148
135	662	4206
136	663	4179
137	670	4189
138	672	4167
139	675	4149
140	677	4124
141	677	4095
142	679	4069
143	686	4083
144	688	4060
145	691	4045
146	693	4023
147	694	3999
148	700	3999
149	701	3977
150	703	3957
151	705	3936
152	706	3913
153	708	3890
154	709	3867
155	715	3872
156	718	3856
157	720	3841
158	722	3821
159	723	3800
160	724	3776
161	732	3790
162	735	3774
163	736	3754
164	737	3733
165	739	3712
166	740	3692
167	754	3734
168	755	3714
169	762	3721
170	763	3702
171	766	3687
172	767	3668
173	768	3650
174	770	3630
175	771	3613
176	780	3628
177	782	3611
178	784	3598
179	785	3580
180	790	3575
181	791	3558
182	797	3560
183	799	3546
184	801	3532
185	811	3549
186	813	3534
187	814	3519
188	816	3502
189	821	3501
190	823	3487
191	825	3473
192	826	3457
193	828	3441
194	829	3426
195	831	3410
196	846	3448
197	847	3432
198	853	3437
199	855	3421
200	857	3410
201	859	3395
202	860	3379
203	862	3363
204	866	3359
205	868	3345
206	869	3332
207	872	3321
208	873	3306
209	875	3292
210	876	3278
211	878	3265
212	881	3255
213	882	3242
214	884	3227
215	885	3213
216	886	3199
217	893	3206
218	895	3195
219	898	3185
220	899	3172
221	901	3159
222	907	3161
223	909	3149
224	910	3136
225	912	3124
226	913	3110
227	915	3098
228	916	3086
229	923	3092
230	925	3082
231	929	3077
232	931	3065
233	937	3069
234	939	3057
235	944	3057
236	945	3045
237	947	3032
238	951	3029
239	956	3027
240	957	3016
241	960	3009
242	962	2998
243	967	2996
244	968	2985
245	970	2974
246	973	2968
247	975	2957
248	976	2945
249	977	2933
250	985	2941
251	988	2933
252	990	2925
253	993	2918
254	999	2921
255	1003	2915
256	1006	2909
257	1008	2899
258	1014	2901
259	1020	2904
260	1025	2903
261	1032	2908
262	1035	2902
263	1039	2898
264	1041	2889
265	1043	2880
266	1047	2875
267	1049	2866
268	1055	2868
269	1058	2862
270	1060	2853
271	1062	2843
272	1064	2834
273	1071	2839
274	1073	2830
275	1076	2822
276	1078	2815
277	1092	2837
278	1094	2827
279	1102	2834
280	1105	2827
281	1107	2820
282	1110	2812
283	1117	2816
284	1118	2806
285	1122	2803
286	1124	2794
287	1126	2784
288	1137	2797
289	1140	2791
290	1148	2797
291	1149	2788
292	1166	2813
293	1179	2833
294	1216	2907
295	1233	2932
296	1247	2953
297	1259	2966
298	1264	2964
299	1271	2967
300	1276	2964
301	1279	2956
302	1285	2957
303	1295	2966
304	1302	2968
305	1305	2959
306	1311	2961
307	1322	2971
308	1327	2969
309	1334	2970
310	1337	2962
311	1340	2956
312	1342	2947
313	1348	2946
314	1352	2942
315	1357	2938
316	1359	2929
317	1365	2928
318	1367	2918
319	1370	2912
320	1372	2903
321	1374	2893
322	1378	2889
323	1387	2895
324	1389	2885
325	1390	2875
326	1396	2875
327	1398	2865
328	1401	2858
329	1403	2849
330	1405	2839
331	1410	2837
332	1413	2831
333	1415	2822
334	1419	2817
335	1421	2808
336	1426	2806
337	1428	2797
338	1430	2788
339	1433	2782
340	1435	2774
341	1440	2772
342	1443	2764
343	1449	2763
344	1452	2756
345	1457	2754
346	1458	2745
347	1460	2736
348	1462	2728
349	1464	2719
350	1465	2709
351	1466	2700
352	1471	2696
353	1474	2690
354	1477	2683
355	1479	2675
356	1480	2666
357	1482	2657
358	1488	2657
359	1489	2648
360	1493	2644
361	1495	2636
362	1497	2627
363	1505	2630
364	1507	2622
365	1509	2614
366	1510	2605
367	1512	2596
368	1516	2593
369	1518	2585
370	1520	2577
371	1522	2570
372	1524	2562
373	1525	2553
374	1527	2545
375	1528	2536
376	1534	2535
377	1536	2528
378	1539	2522
379	1540	2513
380	1542	2505
381	1543	2496
382	1550	2497
383	1552	2491
384	1554	2483
385	1555	2475
386	1557	2466
387	1559	2459
388	1561	2453
389	1564	2446
390	1566	2439
391	1567	2431
392	1568	2423
393	1570	2415
394	1572	2408
395	1574	2401
396	1575	2393
397	1577	2385
398	1578	2378
399	1584	2376
400	1586	2369
401	1588	2363
402	1590	2356
403	1593	2350
404	1594	2342
405	1596	2335
406	1597	2327
407	1599	2320
408	1601	2314
409	1602	2306
410	1604	2299
411	1606	2292
412	1611	2289
413	1613	2283
414	1616	2279
415	1618	2272
416	1620	2265
417	1621	2257
418	1627	2256
419	1629	2249
420	1631	2243
421	1632	2236
422	1633	2228
423	1635	2221
424	1636	2214
425	1641	2211
426	1643	2205
427	1648	2202
428	1649	2195
429	1651	2188
430	1652	2181
431	1655	2176
432	1660	2173
433	1664	2170
434	1680	2182
435	1696	2194
436	1711	2205
437	1713	2198
438	1729	2210
439	1753	2232
440	1755	2225
441	1760	2222
442	1775	2233
443	1778	2226
444	1798	2242
445	1800	2236
446	1803	2231
447	1818	2241
448	1823	2237
449	1832	2240
450	1834	2233
451	1836	2226
452	1838	2220
453	1849	2224
454	1851	2218
455	1854	2212
456	1861	2211
457	1867	2209
458	1868	2202
459	1877	2204
460	1884	2203
461	1886	2197
462	1890	2192
463	1892	2185
464	1898	2183
465	1902	2180
466	1904	2174
467	1906	2167
468	1908	2160
469	1913	2157
470	1914	2150
471	1916	2143
472	1919	2138
473	1921	2132
474	1922	2125
475	1929	2124
476	1931	2117
477	1935	2113
478	1936	2106
479	1938	2099
480	1944	2098
481	1946	2092
482	1950	2087
483	1951	2080
484	1952	2073
485	1954	2067
486	1957	2061
487	1959	2055
488	1961	2049
489	1962	2043
490	1964	2036
491	1966	2030
492	1967	2023
493	1970	2018
494	1971	2011
495	1972	2004
496	1974	1998
497	1975	1991
498	1983	1991
499	1985	1985
500	1987	1979
501	1988	1973
502	1990	1966
503	1991	1960
504	1997	1957
505	1998	1951
506	2000	1945
507	2002	1939
508	2003	1932
509	2006	1927
510	2013	1927
511	2016	1922
512	2018	1916
513	2020	1910
514	2022	1904
515	2026	1900
516	2028	1894
517	2030	1889
518	2032	1883
519	2033	1876
520	2034	1870
521	2036	1864
522	2042	1862
523	2044	1856
524	2045	1850
525	2048	1846
526	2050	1840
527	2051	1834
528	2056	1830
529	2057	1824
530	2059	1819
531	2061	1813
532	2062	1807
533	2064	1801
534	2065	1795
535	2067	1789
536	2073	1787
537	2075	1782
538	2077	1777
539	2079	1771
540	2080	1765
541	2082	1759
542	2087	1757
543	2090	1752
544	2093	1748
545	2102	1748
546	2106	1744
547	2108	1738
548	2109	1733
549	2111	1727
550	2115	1724
551	2117	1718
552	2120	1713
553	2122	1708
554	2123	1702
555	2124	1696
556	2125	1690
557	2131	1688
558	2134	1684
559	2137	1679
560	2138	1673
561	2140	1667
562	2141	1662
563	2145	1658
564	2147	1653
565	2150	1648
566	2151	1643
567	2152	1637
568	2154	1631
569	2155	1626
570	2160	1623
571	2164	1619
572	2165	1614
573	2167	1608
574	2169	1603
575	2170	1597
576	2180	1598
577	2182	1593
578	2183	1587
579	2185	1582
580	2186	1577
581	2196	1577
582	2198	1572
583	2200	1567
584	2202	1562
585	2209	1560
586	2210	1555
587	2213	1550
588	2214	1545
589	2215	1539
590	2217	1534
591	2218	1529
592	2225	1527
593	2227	1522
594	2232	1519
595	2237	1516
596	2239	1511
597	2241	1506
598	2243	1501
599	2244	1496
600	2246	1491
601	2247	1485
602	2248	1480
603	2250	1475
604	2254	1471
605	2256	1467
606	2258	1461
607	2259	1456
608	2260	1451
609	2266	1449
610	2267	1443
611	2269	1438
612	2271	1434
613	2272	1428
614	2274	1423
615	2275	1418
616	2283	1417
617	2285	1412
618	2288	1408
619	2290	1403
620	2291	1398
621	2297	1396
622	2299	1391
623	2301	1386
624	2303	1381
625	2304	1376
626	2305	1371
627	2306	1366
628	2313	1364
629	2316	1360
630	2318	1355
631	2320	1351
632	2321	1345
633	2323	1341
634	2325	1336
635	2327	1331
636	2329	1327
637	2330	1322
638	2331	1317
639	2333	1312
640	2337	1309
641	2340	1305
642	2342	1300
643	2344	1296
644	2346	1291
645	2347	1286
646	2354	1284
647	2355	1279
648	2357	1275
649	2359	1270
650	2360	1265
651	2361	1260
652	2363	1255
653	2373	1255
654	2376	1251
655	2377	1246
656	2379	1242
657	2383	1238
658	2385	1234
659	2387	1229
660	2389	1225
661	2390	1220
662	2392	1215
663	2393	1211
664	2395	1206
665	2397	1202
666	2399	1197
667	2401	1193
668	2403	1188
669	2404	1184
670	2405	1179
671	2410	1176
672	2412	1172
673	2414	1167
674	2415	1163
675	2417	1158
676	2418	1153
677	2419	1149
678	2424	1145
679	2427	1142
680	2429	1137
681	2431	1133
682	2432	1129
683	2433	1124
684	2435	1119
685	2441	1117
686	2442	1112
687	2444	1108
688	2447	1104
689	2449	1100
690	2460	1100
691	2463	1096
692	2464	1091
693	2466	1087
694	2472	1085
695	2475	1081
696	2477	1077
697	2478	1072
698	2480	1067
699	2481	1063
700	2487	1060
701	2489	1056
702	2491	1052
703	2493	1048
704	2494	1043
705	2496	1039
706	2504	1038
707	2507	1034
708	2509	1029
709	2511	1025
710	2517	1023
711	2522	1020
712	2524	1016
713	2526	1011
714	2534	1010
715	2536	1006
716	2540	1002
717	2609	1024
718	2615	1022
719	2617	1017
720	2619	1013
721	2630	1012
722	2632	1008
723	2634	1004
724	2639	1001
725	2643	997
726	2645	993
727	2647	989
728	2649	985
729	2651	980
730	2694	991
731	2697	987
732	2718	990
733	2723	986
734	2724	982
735	2727	978
736	2730	974
737	2732	970
738	2739	967
739	2741	963
740	2742	958
741	2745	954
742	2746	950
743	2749	946
744	2761	945
745	2762	940
746	2764	936
747	2772	933
748	2773	929
749	2897	965
750	2905	963
751	2907	958
752	2911	954
753	2912	950
754	2919	947
755	2924	943
756	2925	939
757	2927	934
758	2934	931
759	2936	927
760	2938	922
761	2941	918
762	2942	913
763	2944	909
764	2945	904
765	2947	900
766	2950	896
767	2952	891
768	2954	887
769	2956	883
770	2959	878
771	2962	875
772	2965	870
773	2966	866
774	2968	861
775	2970	857
776	2971	852
777	2973	848
778	2974	843
779	2976	839
780	2978	835
781	2985	832
782	2986	827
783	2988	823
784	2990	818
785	2991	814
786	2993	810
787	2998	806
788	2999	802
789	3001	797
790	3003	793
791	3004	789
792	3006	784
793	3007	780
794	3009	775
795	3014	772
796	3016	768
797	3018	764
798	3020	759
799	3021	755
800	3023	751
801	3029	747
802	3030	743
803	3032	739
804	3034	735
805	3036	730
806	3037	726
807	3038	722
808	3044	718
809	3045	714
810	3047	710
811	3049	706
812	3051	701
813	3052	697
814	3054	693
815	3058	689
816	3060	685
817	3061	681
818	3064	677
819	3066	673
820	3067	668
821	3069	664
822	3074	661
823	3076	657
824	3079	653
825	3081	649
826	3082	644
827	3084	640
828	3088	637
829	3090	632
830	3091	628
831	3094	624
832	3096	620
833	3097	616
834	3099	612
835	3100	608
836	3102	604
837	3104	600
838	3106	596
839	3108	592
840	3109	587
841	3111	583
842	3118	580
843	3119	576
844	3122	572
845	3123	568
846	3124	564
847	3126	560
848	3127	556
849	3130	552
850	3131	548
851	3133	544
852	3135	540
853	3136	536
854	3138	532
855	3142	528
856	3145	524
857	3146	520
858	3148	516
859	3150	512
860	3152	508
861	3154	504
862	3160	501
863	3162	497
864	3164	493
865	3166	489
866	3167	485
867	3168	481
868	3175	478
869	3177	474
870	3183	471
871	3184	467
872	3193	464
873	3195	460
874	3197	456
875	3200	453
876	3207	449
877	3209	445
878	3212	442
879	3214	438
880	3215	434
881	3229	432
882	3231	428
883	3240	425
884	3243	421
885	3263	419
886	3271	416
887	3277	413
888	3331	416
889	3333	411
890	3335	408
891	3337	404
892	3343	400
893	3347	396
894	3349	393
895	3351	389
896	3353	385
897	3355	381
898	3358	377
899	3418	379
900	3420	375
901	3427	372
902	3430	368
903	3432	364
904	3434	360
905	3439	356
906	3441	352
907	3443	348
908	3446	345
909	3448	341
910	3450	337
911	3456	333
